,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2,Day/ Night
0,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,0.1,0,0.1,0,160,11,5,2,0.1,0,0,0,-0.666666667,India,Pakistan,0
1,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,0.2,0,0.2,0,160,11,5,2,0.2,0,0,0,-0.666666667,India,Pakistan,0
2,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,0.3,0,0.3,0,160,11,5,2,0.3,0,0,0,-0.666666667,India,Pakistan,0
3,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,0.4,0,0.4,0,160,11,5,2,0.4,0,0,0,-0.666666667,India,Pakistan,0
4,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,0.5,0,0.5,1,160,11,5,2,0.5,1,0,0,-0.666666667,India,Pakistan,0
5,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,0.6,1,0.6,2,160,11,5,2,0.6,3,0,0,-0.666666667,India,Pakistan,0
6,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,1.1,2,1.1,2,160,11,5,2,1.1,4,0,0,-0.666666667,India,Pakistan,0
7,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,1.2,2,1.2,2,160,11,5,2,1.2,5,0,0,-0.666666667,India,Pakistan,0
8,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,1.3,2,1.3,6,160,11,5,2,1.3,9,0,0,-0.666666667,India,Pakistan,0
9,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,1.4,2,1.4,10,160,11,5,2,1.4,13,0,0,-0.666666667,India,Pakistan,0
10,-3.174216028,-7.254385965,-2.494076655,-6.489473684,-0.050405692,-0.058315527,-0.704365079,6.073369565,0.181132288,0.648441337,-1.089285714,3.839673913,1,2,-0.5,1,1.5,2,1.5,10,160,11,5,2,1.5,13,0,0,-0.666666667,India,Pakistan,0
