,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Pakistan,New Zealand
0,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,0.1,0,0.1,0,160,78,68,1,0.1,0,0,-0.111940299,0.333333333,Pakistan,New Zealand
1,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,0.2,0,0.2,4,160,78,68,1,0.2,4,0,-0.111940299,0.333333333,Pakistan,New Zealand
2,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,0.3,0,0.3,4,160,78,68,1,0.3,4,0,-0.111940299,0.333333333,Pakistan,New Zealand
3,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,0.4,0,0.4,8,160,78,68,1,0.4,8,0,-0.111940299,0.333333333,Pakistan,New Zealand
4,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,0.5,0,0.5,8,160,78,68,1,0.5,8,0,-0.111940299,0.333333333,Pakistan,New Zealand
5,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,0.6,0,0.6,14,160,78,68,1,0.6,14,0,-0.111940299,0.333333333,Pakistan,New Zealand
6,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,1.1,14,1.1,1,160,78,68,1,1.1,15,0,-0.111940299,0.333333333,Pakistan,New Zealand
7,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,1.2,1,1.2,18,160,78,68,1,1.2,19,0,-0.111940299,0.333333333,Pakistan,New Zealand
8,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,1.3,1,1.3,19,160,78,68,1,1.3,20,0,-0.111940299,0.333333333,Pakistan,New Zealand
9,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,1.4,19,1.4,1,160,78,68,1,1.4,20,0,-0.111940299,0.333333333,Pakistan,New Zealand
