,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Srilanka,Bangladesh
0,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,0.1,0,0.1,0,160,8,31,2,0.1,0,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
1,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,0.2,0,0.2,0,160,8,31,2,0.2,0,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
2,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,0.3,0,0.3,0,160,8,31,2,0.3,1,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
3,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,0.4,0,0.4,4,160,8,31,2,0.4,5,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
4,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,0.5,0,0.5,5,160,8,31,2,0.5,6,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
5,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,0.6,5,0.6,0,160,8,31,2,0.6,6,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
6,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,0.7,5,0.7,0,160,8,31,2,0.7,6,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
7,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,1.1,0,1.1,5,160,8,31,2,1.1,6,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
8,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,1.2,0,1.2,9,160,8,31,2,1.2,10,0,-0.423809524,-0.666666667,Srilanka,Bangladesh
9,-3.914598842,-5.043137255,-2.118610422,-1.661176471,-0.09338671,-0.140951788,12.74549237,15.35714286,1.037803285,0.890468967,7.476074896,10.58571429,0,2,-0.5,1,1.3,0,1.3,9,160,8,31,2,1.3,10,1,-0.423809524,-0.666666667,Srilanka,Bangladesh
